Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgComp,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,RoomType,RoomName,WingType,WingName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,MatchID,PotentialID,MatchNarrative,StrucType,StrucDet,IN_Address,IN_Address2,IN_Address3,IN_Neighborhood,IN_City,IN_Subregion,IN_Region,IN_Postal,IN_PostalExt,IN_CountryCode,USER_Facility,USER_Current_Rating,USER_Last_Inspection_Date,USER_City,USER_Address
World,M,100.000000000000000,A,"1950 Yosemite Pkwy, Suite B, Merced, California, 95341","1950 Yosemite Pkwy, Suite B, Merced, CA, 95341, USA","1950 Yosemite Pkwy, Suite B",Subaddress,,,"1950 Yosemite Pkwy, Suite B, Merced, California, 95341",,,20.000000000000000,,1950,,,,,,,Yosemite,Pkwy,,,,,,,Suite,B,,,,,Suite B,1950 Yosemite Pkwy,,,,,Merced,,Merced County,California,CA,,,95341,5203,USA,United States,ENG,0.000000000000000,-120.453556208150999,37.294373562231002,-120.453556208150999,37.294373562231002,-120.454556208151004,-120.452556208150995,37.293373562230997,37.295373562230999,,AQCa6AAAPvEBAJUBBAAAAAAMEFlPU0VNSVRFIFBBUktXQVkVBDE5NTAcAzA6QmYDRU5H,,,,,1950 Yosemite Pkwy Ste B,,,,Merced,,,,,,Energy & Fitness 91,Good,9/11/2023,Merced,1950 Yosemite Pkwy Ste B
World,M,100.000000000000000,A,"561 W 18th St, #D, Merced, California, 95340","561 W 18th St, #D, Merced, CA, 95340, USA","561 W 18th St, #D",Subaddress,,,"561 W 18th St, #D, Merced, California, 95340",,,19.500000000000000,,561,,,,,W,,18th,St,,,,,,,,D,,,,,#D,561 W 18th St,,,,,Merced,,Merced County,California,CA,,,95340,4706,USA,United States,ENG,0.000000000000000,-120.483920155318003,37.302875326622001,-120.483872629927006,37.303002815368998,-120.484872629926997,-120.482872629927002,37.302002815369001,37.304002815369003,,AQB86AAAR/EBAJUBBAAAAAAMEFdFU1QgMThUSCBTVFJFRVQVAzU2MRwDMDpEZgNFTkc,,,Commercial,,561 W. 18th St. Ste D,,,,Merced,,,,,,Escuela Popular Instituto de Cesar Chavez (EPIC),Good,4/16/2026,Merced,561 W. 18th St. Ste D
World,M,100.000000000000000,A,"360 W Olive Ave, Merced, California, 95348","360 W Olive Ave, Merced, CA, 95348, USA",360 W Olive Ave,PointAddress,,,"360 W Olive Ave, Merced, California, 95348",,,19.500000000000000,,360,,,,,W,,Olive,Ave,,,,,,,,,,,,,,360 W Olive Ave,,,,,Merced,,Merced County,California,CA,,,95348,3137,USA,United States,ENG,0.000000000000000,-120.474558826757004,37.319081987868003,-120.474604089034003,37.318759703691001,-120.475604089033993,-120.473604089033998,37.317759703691003,37.319759703690998,,AQGF6AAAVvEBAJUBBAAAAAAMEVdFU1QgT0xJVkUgQVZFTlVFFQMzNjBmA0VORw,,,Commercial,,360 W. Olive Ave.,,,,Merced,,,,,,Fancy Burger,Good,12/17/2025,Merced,360 W. Olive Ave.
World,M,100.000000000000000,A,"1480 W 16th St, Merced, California, 95340","1480 W 16th St, Merced, CA, 95340, USA",1480 W 16th St,PointAddress,,,"1480 W 16th St, Merced, California, 95340",,,19.500000000000000,,1480,,,,,W,,16th,St,,,,,,,,,,,,,,1480 W 16th St,,,,,Merced,,Merced County,California,CA,,,95340,4429,USA,United States,ENG,0.000000000000000,-120.498582953818996,37.305773537283002,-120.498667946317994,37.305540520374002,-120.499667946317999,-120.497667946318003,37.304540520373997,37.306540520374000,,AQFt6AAASfEBAJUBBAAAAAAMEFdFU1QgMTZUSCBTVFJFRVQVBDE0ODBmA0VORw,,,Commercial,,1480 W 16th St,,,,Merced,,,,,,Express 76,Good,12/18/2024,Merced,1480 W 16th St
World,M,100.000000000000000,A,"100 Winder Ave, Merced, California, 95341","100 Winder Ave, Merced, CA, 95341, USA",100 Winder Ave,PointAddress,,,"100 Winder Ave, Merced, California, 95341",,,19.500000000000000,,100,,,,,,,Winder,Ave,,,,,,,,,,,,,,100 Winder Ave,,,,,Merced,,Merced County,California,CA,,,95341,8855,USA,United States,ENG,0.000000000000000,-120.482407305614004,37.277194432578000,-120.482415268422002,37.276929061522999,-120.483415268421993,-120.481415268421998,37.275929061523001,37.277929061522997,,AQF96AAALPEBAJUBBAAAAAAMDVdJTkRFUiBBVkVOVUUVAzEwMGYDRU5H,,,,,100 Winder Ave.,,,,Merced,,,,,,Farmdale Elementary School,Good,5/8/2026,Merced,100 Winder Ave.
World,M,98.370000000000005,A,"3532 G St, Merced, California, 95340","3532 G St, Merced, CA, 95340, USA",3532 G St,PointAddress,,,"3532 G St, Merced, California, 95340",,,19.500000000000000,,3532,,,,,,,G,St,,,,,,,,,,,,,,3532 G St,,,,,Merced,,Merced County,California,CA,,,95340,0691,USA,United States,ENG,0.000000000000000,-120.469047473961993,37.330859441930002,-120.468269549528003,37.330843851589997,-120.469269549527993,-120.467269549527998,37.329843851589999,37.331843851590001,,AQGL6AAAYvEBAJUBBAAAAAAMCEcgU1RSRUVUFQQzNTMyZgNFTkc,,,Commercial,,3532 N G St,,,,Merced,,,,,,El Asadero Taco Shop,Good,9/24/2025,Merced,3532 N G St
World,M,100.000000000000000,A,"782 Carol Ave, Merced, California, 95341","782 Carol Ave, Merced, CA, 95341, USA",782 Carol Ave,PointAddress,,,"782 Carol Ave, Merced, California, 95341",,,19.500000000000000,,782,,,,,,,Carol,Ave,,,,,,,,,,,,,,782 Carol Ave,,,,,Merced,,Merced County,California,CA,,,95341,5168,USA,United States,ENG,0.000000000000000,-120.454415520864998,37.289517129441002,-120.454125674653000,37.289517464717001,-120.455125674653004,-120.453125674652995,37.288517464717003,37.290517464716999,,AQGZ6AAAOfEBAJUBBAAAAAAMDENBUk9MIEFWRU5VRRUDNzgyZgNFTkc,,,Commercial,,782 Carol Ave.,,,,Merced,,,,,,Fill N Fresh,Good,4/3/2025,Merced,782 Carol Ave.
World,M,100.000000000000000,A,"3162 R St, Merced, California, 95348","3162 R St, Merced, CA, 95348, USA",3162 R St,PointAddress,,,"3162 R St, Merced, California, 95348",,,19.500000000000000,,3162,,,,,,,R,St,,,,,,,,,,,,,,3162 R St,,,,,Merced,,Merced County,California,CA,,,95348,1961,USA,United States,ENG,0.000000000000000,-120.486816270502999,37.321461987366000,-120.485662082435994,37.321535329019000,-120.486662082435998,-120.484662082436003,37.320535329019002,37.322535329018002,,AQF66AAAWfEBAJUBBAAAAAAMCFIgU1RSRUVUFQQzMTYyZgNFTkc,,,Commercial,,3162 R St.,,,,Merced,,,,,,Five Below,Good,11/4/2025,Merced,3162 R St.
World,M,100.000000000000000,A,"3572 G St, Merced, California, 95340","3572 G St, Merced, CA, 95340, USA",3572 G St,PointAddress,,,"3572 G St, Merced, California, 95340",,,19.500000000000000,,3572,,,,,,,G,St,,,,,,,,,,,,,,3572 G St,,,,,Merced,,Merced County,California,CA,,,95340,0692,USA,United States,ENG,0.000000000000000,-120.469035655477995,37.331485612007000,-120.466754185252995,37.331417550952999,-120.467754185253000,-120.465754185253004,37.330417550953001,37.332417550952997,,AQGN6AAAY/EBAJUBBAAAAAAMCEcgU1RSRUVUFQQzNTcyZgNFTkc,,,Commercial,,3572 G St.,,,,Merced,,,,,,Five Guys Burgers & Fries #1765,Good,3/13/2024,Merced,3572 G St.
World,M,100.000000000000000,A,"530 W 16th St, Suite E, Merced, California, 95340","530 W 16th St, Suite E, Merced, CA, 95340, USA","530 W 16th St, Suite E",Subaddress,,,"530 W 16th St, Suite E, Merced, California, 95340",,,20.000000000000000,,530,,,,,W,,16th,St,,,,,,,Suite,E,,,,,Suite E,530 W 16th St,,,,,Merced,,Merced County,California,CA,,,95340,4710,USA,United States,ENG,0.000000000000000,-120.485294787439003,37.300661582174001,-120.485294787439003,37.300661582174001,-120.486294787438993,-120.484294787438998,37.299661582173997,37.301661582173999,,AQB66AAARPEBAJUBBAAAAAAMEFdFU1QgMTZUSCBTVFJFRVQVAzUzMBwDMDpFZgNFTkc,,,,,530 W. 16th St. Ste E,,,,Merced,,,,,,Fiesta Mexicana,Good,11/18/2024,Merced,530 W. 16th St. Ste E
