Detail,Facility,Current Rating,Last Inspection Date,City,Address
FoodInspectDetail.aspx?id=FA0009174,"Brock Enterprises, Inc. - (Dippin Dots)",Good,6/15/2023,Merced,851 W. Olive Ave.
FoodInspectDetail.aspx?id=FA0001771,Brooks Ranch,Good,10/2/2024,Atwater,975 Bellevue Rd
FoodInspectDetail.aspx?id=FA0009716,Brothers Food Mart,Good,12/12/2023,Livingston,690 Hammatt Ave
FoodInspectDetail.aspx?id=FA0009658,Brothers Royal Crown,Satisfactory,4/8/2026,Atwater,2689 N. Buhach Road
FoodInspectDetail.aspx?id=FA0006937,Bryant Middle School,Good,5/12/2026,Dos Palos,16695 N. Bryant Ave.
FoodInspectDetail.aspx?id=FA0008881,Buchanan Hollow Nut Co. (Food),Good,8/16/2023,Le Grand,6510 Minturn Road
FoodInspectDetail.aspx?id=FA0000868,Bud's Place,Good,9/12/2025,Snelling,15897 N Hwy 59
FoodInspectDetail.aspx?id=FA0006186,Burger King,Satisfactory,8/12/2024,Livingston,435 Winton Pkwy
FoodInspectDetail.aspx?id=FA0006695,Burger King #16899,Good,11/1/2023,Merced,1965 E. Childs Ave.
FoodInspectDetail.aspx?id=FA0006542,Burger King #1878,Good,12/12/2025,Merced,555 W. Olive Ave.
FoodInspectDetail.aspx?id=FA0000869,Burger King #2671,Satisfactory,4/19/2024,Los Banos,525 Pacheco Blvd
FoodInspectDetail.aspx?id=FA0003566,Burger King 9961,Good,2/11/2025,Atwater,2721 Winton Way
FoodInspectDetail.aspx?id=FA0007326,Burger Time,Satisfactory,9/25/2024,Merced,661 W. 16th St.
FoodInspectDetail.aspx?id=FA0010737,Burlington #1572,Good,10/6/2025,Merced,3138 R St.
FoodInspectDetail.aspx?id=FA0000635,Butch's Drive-In,Satisfactory,3/14/2024,Dos Palos,2625 Blossom St
FoodInspectDetail.aspx?id=FA0009406,Buy 2 Save,Satisfactory,2/4/2026,Atwater,1804 Bellevue Road
FoodInspectDetail.aspx?id=FA0001065,Buy and Bye Market,Good,6/27/2023,Merced,1108 G St
FoodInspectDetail.aspx?id=FA0009772,Buy N Save Market,Satisfactory,8/23/2024,Los Banos,225 7th St
FoodInspectDetail.aspx?id=FA0010512,C&D Petro Inc Arco AMPM #83955,Good,11/13/2024,Merced,1295 W. Yosemite Ave.
FoodInspectDetail.aspx?id=FA0006590,"Cal Valley Jac, Inc d.b.a. Jack In The Box #4389",Good,5/21/2026,Los Banos,1117 W. Pacheco Blvd
FoodInspectDetail.aspx?id=FA0004629,"Cal Valley Jack, Inc d.b.a. Jack In The Box #3451",Good,4/23/2024,Los Banos,1370 E Pacheco Blvd
FoodInspectDetail.aspx?id=FA0007244,California Del Sur-Commissary,Good,4/22/2026,Los Banos,150 W. G St. Ste B
FoodInspectDetail.aspx?id=FA0000801,California Liquor & Grocery,Satisfactory,2/28/2024,Merced,1122 R St
FoodInspectDetail.aspx?id=FA0009311,"California Motel, LLC",Good,3/25/2024,Merced,205 E. 16th St.
FoodInspectDetail.aspx?id=FA0006990,Camaron Pelao N Peel & Eat,Good,10/10/2024,Atwater,1301 Winton Way
FoodInspectDetail.aspx?id=FA0005651,Campus Cafe,Good,1/19/2024,Merced,3600 M St.
FoodInspectDetail.aspx?id=FA0000312,Campus Park School,Good,5/28/2026,Livingston,1845 H St
FoodInspectDetail.aspx?id=FA0008199,Canteen Food & Vending - Gallo,Good,7/7/2023,Livingston,18000 W. River Road
FoodInspectDetail.aspx?id=FA0000872,Canteen Food & Vending - HC,Good,6/13/2023,Hilmar,9001 N. Lander Ave.
FoodInspectDetail.aspx?id=FA0008765,Cardenas Markets #223,Good,4/13/2026,Merced,1136 W. Main St.
FoodInspectDetail.aspx?id=FA0006172,Carl's Jr Restaurant #1713,Good,7/18/2024,Los Banos,1941 E. Pacheco Blvd
FoodInspectDetail.aspx?id=FA0005363,Carl's Jr Restaurant #7581,Good,12/16/2024,Livingston,443 Joseph Gallo Ct.
FoodInspectDetail.aspx?id=FA0006173,Carl's Jr Restaurant #7759,Good,4/21/2025,Atwater,1600 Bell Lane
FoodInspectDetail.aspx?id=FA0000828,Carl's Jr. #238,Good,9/30/2024,Merced,1400 V St.
FoodInspectDetail.aspx?id=FA0000998,Carl's Jr. #597,Good,9/4/2024,Merced,300 W Olive Ave.
FoodInspectDetail.aspx?id=FA0005717,Carl's Jr. #775,Good,3/4/2024,Santa Nella,12260 S Hwy 33
FoodInspectDetail.aspx?id=FA0002606,Carl's Jr. Restaurant #649,Satisfactory,4/26/2024,Los Banos,1551 W Pacheco Blvd
FoodInspectDetail.aspx?id=FA0004547,Carniceria 3 Hermanos,Good,2/25/2026,Merced,1055 W. Childs Ave.
FoodInspectDetail.aspx?id=FA0006769,Carniceria Dos Gallos #1,Good,10/22/2025,Merced,1122 R St.
FoodInspectDetail.aspx?id=FA0004720,Carniceria El Cerrito,Good,7/30/2025,Atwater,1155 Bellevue Road
FoodInspectDetail.aspx?id=FA0010249,Carniceria El Jarocho,Good,5/14/2025,Merced,2980 Beachwood Dr.
FoodInspectDetail.aspx?id=FA0000683,Carniceria La Mexicana,Good,6/21/2024,Atwater,1827 Atwater Blvd
FoodInspectDetail.aspx?id=FA0000900,Carniceria La Rosita,Good,12/14/2023,Delhi,10055 N Vincent Road
FoodInspectDetail.aspx?id=FA0008386,Carniceria Los Gordos Meat Market,Good,2/11/2026,Merced,1103 Martin Luther King Jr Way
FoodInspectDetail.aspx?id=FA0009211,Carniceria Los Navarrete,Satisfactory,7/24/2023,Merced,45 E. 16th St.
FoodInspectDetail.aspx?id=FA0006956,Carniceria Rio Grande,Good,12/6/2024,Merced,1220 W. 9th St.
FoodInspectDetail.aspx?id=FA0008605,Carniceria Superior,Good,10/16/2024,Merced,1725 W. Hwy 140
FoodInspectDetail.aspx?id=FA0005253,Carnitas Barajas Inc,Good,5/26/2026,Planada,9184 E. Hwy 140
FoodInspectDetail.aspx?id=FA0004737,Carnitas Del Bajio,Good,4/9/2026,Los Banos,455 H St.
FoodInspectDetail.aspx?id=FA0006107,Carnitas Michoacan,Satisfactory,3/19/2025,Merced,1540 Yosemite Pkwy
FoodInspectDetail.aspx?id=FA0005778,Casa Frida Sabores De Mexico Inc,Good,10/6/2025,Merced,1715 W. State Highway 140
FoodInspectDetail.aspx?id=FA0008475,Casino Merced,Satisfactory,12/4/2024,Merced,"1459 Martin Luther King Jr Way Ste 4,5,6"
FoodInspectDetail.aspx?id=FA0000074,Cattlemen's Restaurant,Good,3/20/2025,Dos Palos,16575 S. Hwy 33
FoodInspectDetail.aspx?id=FA0010827,Central Presbyterian Church,Good,4/16/2026,Merced,1920 Canal St.
FoodInspectDetail.aspx?id=FA0010320,Central Valley Pace,Good,1/19/2024,Merced,727 W. Childs Ave.
FoodInspectDetail.aspx?id=FA0009745,Century Chevron #359664,Good,12/11/2023,Merced,655 E Main St
FoodInspectDetail.aspx?id=FA0007142,Cesar Chavez Middle School,Good,5/11/2026,Planada,161 S. Plainsburg Road
FoodInspectDetail.aspx?id=FA0005074,"CG Hospitality Group, Inc. dba: Round Table Pizza",Good,5/17/2024,Merced,1728 W. Olive Ave.
FoodInspectDetail.aspx?id=FA0005902,Champion Grill Buffet,Good,4/7/2026,Merced,475 W. Olive Ave.
FoodInspectDetail.aspx?id=FA0005311,Chand Sweets & Catering Foods,Good,2/19/2025,Livingston,430 Main St.
FoodInspectDetail.aspx?id=FA0000352,Charles Wright School,Good,5/8/2026,Merced,900 E. 20th St.
FoodInspectDetail.aspx?id=FA0000075,Charleston School,Good,5/8/2026,Los Banos,18463 W. Charleston Road
FoodInspectDetail.aspx?id=FA0010053,CharlieG Treats,Good,10/18/2023,Atwater,3121 Chardonnay Way
FoodInspectDetail.aspx?id=FA0000412,Chenoweth Elementary School,Good,5/12/2026,Merced,3200 Parsons
FoodInspectDetail.aspx?id=FA0009750,Chevron (Gustine),Good,7/2/2025,Gustine,32923 Sullivan Road
FoodInspectDetail.aspx?id=FA0009729,Chevron Mini-Mart,Good,10/27/2023,Gustine,430 First Ave.
FoodInspectDetail.aspx?id=FA0009719,CHEVRON STATION #208575,Good,11/21/2023,Livingston,381 Joseph Gallo Dr
