Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgComp,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,RoomType,RoomName,WingType,WingName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,MatchID,PotentialID,MatchNarrative,StrucType,StrucDet,IN_Address,IN_Address2,IN_Address3,IN_Neighborhood,IN_City,IN_Subregion,IN_Region,IN_Postal,IN_PostalExt,IN_CountryCode,USER_Facility,USER_Current_Rating,USER_Last_Inspection_Date,USER_City,USER_Address,quality_score
World,M,100.0,A,"3055 Loughborough Dr, Merced, California, 95348","3055 Loughborough Dr, Merced, CA, 95348, USA",3055 Loughborough Dr,PointAddress,,,"3055 Loughborough Dr, Merced, California, 95348",,,19.5,,3055,,,,,,,Loughborough,Dr,,,,,,,,,,,,,,3055 Loughborough Dr,,,,,Merced,,Merced County,California,CA,,,95348,1119.0,USA,United States,ENG,0.0,-120.499813668663,37.318358964901,-120.501927249367,37.31815905651,-120.502927249367,-120.500927249367,37.31715905651,37.31915905651,,AQFq6AAAVvEBAJUBBAAAAAAMEkxPVUdIQk9ST1VHSCBEUklWRRUEMzA1NWYDRU5H,,,Commercial,,3055 Loughborough Dr.,,,,Merced,,,,,,Walmart #2039,Good,3/27/2026,Merced,3055 Loughborough Dr.,2
World,M,100.0,A,"3630 G St, Suite E, Merced, California, 95340","3630 G St, Suite E, Merced, CA, 95340, USA","3630 G St, Suite E",Subaddress,,,"3630 G St, Suite E, Merced, California, 95340",,,20.0,,3630,,,,,,,G,St,,,,,,,Suite,E,,,,,Suite E,3630 G St,,,,,Merced,,Merced County,California,CA,,,95340,9201.0,USA,United States,ENG,0.0,-120.468640281106,37.333012710946,-120.468640281106,37.333012710946,-120.469640281106,-120.467640281106,37.332012710946,37.334012710946,,AQCL6AAAZfEBAJUBBAAAAAAMCEcgU1RSRUVUFQQzNjMwHAMwOkVmA0VORw,,,,,3630 G St. Ste E,,,,Merced,,,,,,We Do Dough Turlock Inc. DBA Crumbl Cookies,Good,7/15/2025,Merced,3630 G St. Ste E,2
World,M,100.0,A,"3076 E Childs Ave, Merced, California, 95341","3076 E Childs Ave, Merced, CA, 95341, USA",3076 E Childs Ave,PointAddress,,,"3076 E Childs Ave, Merced, California, 95341",,,19.5,,3076,,,,,E,,Childs,Ave,,,,,,,,,,,,,,3076 E Childs Ave,,,,,Merced,,Merced County,California,CA,,,95341,9506.0,USA,United States,ENG,0.0,-120.432292409443,37.287815435458,-120.432292409443,37.288206199784,-120.433292409443,-120.431292409443,37.287206199784,37.289206199784,,AQGv6AAAOPEBAJUBBAAAAAAMEkVBU1QgQ0hJTERTIEFWRU5VRRUEMzA3NmYDRU5H,,,,,3076 E. Childs Ave.,,,,Merced,,,,,,Weaver Middle School,Good,5/12/2026,Merced,3076 E. Childs Ave.,2
World,M,100.0,A,"1400 Martin Luther King Jr Way, Merced, California, 95340","1400 Martin Luther King Jr Way, Merced, CA, 95340, USA",1400 Martin Luther King Jr Way,PointAddress,,,"1400 Martin Luther King Jr Way, Merced, California, 95340",,,19.5,,1400,,,,,,,Martin Luther King Jr,Way,,,,,,,,,,,,,,1400 Martin Luther King Jr Way,,,,,Merced,,Merced County,California,CA,,,95340,6140.0,USA,United States,ENG,0.0,-120.481937080846,37.297416402631,-120.481719989554,37.297292015188,-120.482719989554,-120.480719989554,37.296292015188,37.298292015188,,AQF+6AAAQfEBAJUBBAAAAAAMGU1BUlRJTiBMVVRIRVIgS0lORyBKUiBXQVkVBDE0MDBmA0VORw,,,Commercial,,1400 Martin Luther King Jr Way,,,,Merced,,,,,,Wendy's Old Fashioned,Good,3/5/2024,Merced,1400 Martin Luther King Jr Way,2
World,M,100.0,A,"779 E Yosemite Ave, Suite D, Merced, California, 95340","779 E Yosemite Ave, Suite D, Merced, CA, 95340, USA","779 E Yosemite Ave, Suite D",Subaddress,,,"779 E Yosemite Ave, Suite D, Merced, California, 95340",,,20.0,,779,,,,,E,,Yosemite,Ave,,,,,,,Suite,D,,,,,Suite D,779 E Yosemite Ave,,,,,Merced,,Merced County,California,CA,,,95340,8041.0,USA,United States,ENG,0.0,-120.460273381537,37.332481214466,-120.460273381537,37.332481214466,-120.461273381537,-120.459273381537,37.331481214466,37.333481214466,,AQCT6AAAZPEBAJUBBAAAAAAMFEVBU1QgWU9TRU1JVEUgQVZFTlVFFQM3NzkcAzA6RGYDRU5H,,,,,779 E. Yosemite Ave. Ste D,,,,Merced,,,,,,Winganomics Inc (d.b.a. Wingstop Merced),Good,3/10/2025,Merced,779 E. Yosemite Ave. Ste D,2
World,M,100.0,A,"450 W 18th St, Merced, California, 95340","450 W 18th St, Merced, CA, 95340, USA",450 W 18th St,PointAddress,,,"450 W 18th St, Merced, California, 95340",,,19.5,,450,,,,,W,,18th,St,,,,,,,,,,,,,,450 W 18th St,,,,,Merced,,Merced County,California,CA,,,95340,4804.0,USA,United States,ENG,0.0,-120.482472516821,37.302282432701,-120.482574021668,37.302002728592,-120.483574021668,-120.481574021668,37.301002728592,37.303002728592,,AQF96AAARvEBAJUBBAAAAAAMEFdFU1QgMThUSCBTVFJFRVQVAzQ1MGYDRU5H,,,,,450 W. 18th St.,,,,Merced,,,,,,Wired Internet Cafe,Good,9/4/2024,Merced,450 W. 18th St.,2
World,M,97.2,A,"851 W Olive Ave, Merced, California, 95348","851 W Olive Ave, Merced, CA, 95348, USA",851 W Olive Ave,PointAddress,,,"851 W Olive Ave, Merced, California, 95348",,,19.5,,851,,,,,W,,Olive,Ave,,,,,,,,,,,,,,851 W Olive Ave,,,,,Merced,,Merced County,California,CA,,,95348,,USA,United States,ENG,0.0,-120.48340751812,37.319345766362,-120.483416989671,37.320356288608,-120.484416989671,-120.482416989671,37.319356288608,37.321356288608,,AQF86AAAWPEBAJUBBAAAAAAMEVdFU1QgT0xJVkUgQVZFTlVFFQM4NTFmA0VORw,,,Commercial,,851 W. Olive St.,,,,Merced,,,,,,Vallarta Supermarket #76,Good,5/28/2026,Merced,851 W. Olive St.,2
World,M,100.0,A,"3110 R St, Suite B, Merced, California, 95348","3110 R St, Suite B, Merced, CA, 95348, USA","3110 R St, Suite B",Subaddress,,,"3110 R St, Suite B, Merced, California, 95348",,,20.0,,3110,,,,,,,R,St,,,,,,,Suite,B,,,,,Suite B,3110 R St,,,,,Merced,,Merced County,California,CA,,,95348,1976.0,USA,United States,ENG,0.0,-120.486258035752,37.319699566495,-120.486258035752,37.319699566495,-120.487258035752,-120.485258035752,37.318699566495,37.320699566495,,AQB56AAAV/EBAJUBBAAAAAAMCFIgU1RSRUVUFQQzMTEwHAMwOkJmA0VORw,,,,,3110 R St. Ste B,,,,Merced,,,,,,Yogolicious,Good,8/29/2024,Merced,3110 R St. Ste B,2
World,M,100.0,A,"732 W 13th St, Merced, California, 95341","732 W 13th St, Merced, CA, 95341, USA",732 W 13th St,PointAddress,,,"732 W 13th St, Merced, California, 95341",,,19.5,,732,,,,,W,,13th,St,,,,,,,,,,,,,,732 W 13th St,,,,,Merced,,Merced County,California,CA,,,95341,,USA,United States,ENG,0.0,-120.489518093173,37.298518580989,-120.489639295493,37.29818439451,-120.490639295493,-120.488639295493,37.29718439451,37.29918439451,,AQF26AAAQvEBAJUBBAAAAAAMEFdFU1QgMTNUSCBTVFJFRVQVAzczMmYDRU5H,,,,,732 W. 13th St.,,,,Merced,,,,,,Wolfe Transition Center,Good,5/12/2026,Merced,732 W. 13th St.,2
World,M,100.0,A,"3584 G St, Merced, California, 95340","3584 G St, Merced, CA, 95340, USA",3584 G St,PointAddress,,,"3584 G St, Merced, California, 95340",,,20.0,,3584,,,,,,,G,St,,,,,,,,,,,,,,3584 G St,,,,,Merced,,Merced County,California,CA,,,95340,692.0,USA,United States,ENG,0.0,-120.469060046817,37.331745115729,-120.468625277499,37.331740589501,-120.469625277499,-120.467625277499,37.330740589501,37.332740589501,,AQGL6AAAY/EBAJUBBAAAAAAMCEcgU1RSRUVUFQQzNTg0ZgNFTkc,,,,,3584 G St.,,,,Merced,,,,,,Yosemite Chevron,Good,12/20/2023,Merced,3584 G St.,2
