Facility,Current Rating,Last Inspection Date,City,Address
Farmdale Elementary School,Good,5/8/2026,Merced,100 Winder Ave.
Fiesta Mexicana,Good,11/18/2024,Merced,530 W. 16th St. Ste E
Fill N Fresh,Good,4/3/2025,Merced,782 Carol Ave.
Five Below,Good,11/4/2025,Merced,3162 R St.
Five Guys Burgers & Fries #1765,Good,3/13/2024,Merced,3572 G St.
Five Ten Bistro / After 5,Satisfactory,2/1/2024,Merced,510 W. Main St.
Food 4 Less - Merced,Good,1/26/2024,Merced,1115 W Olive Ave
Food Maxx #487,Good,11/12/2025,Merced,1300 W. Olive Ave.
Franciscan Post-Acute Care Center,Good,12/16/2024,Merced,3169 M St
Franklin School,Good,3/20/2026,Merced,2736 N Franklin Rd
Friends House Inc,Good,3/14/2025,Merced,437 W. Main St.
Frosty Queen Exp #3,Satisfactory,6/17/2026,Merced,1725 Yosemite Pkwy
Frozen World,Good,3/10/2025,Merced,779 E. Yosemite Ave. Ste E
Fruta Loca,Good,3/31/2026,Merced,3146 N. G St. Ste 106
Fujisan Sushi @ VAL076,Good,5/28/2026,Merced,851 W. Olive Ave. Ste 370
Gabes Bar,Good,4/17/2026,Merced,1636 Martin Luther King Jr Way
Gas-N-Save,Satisfactory,1/15/2025,Merced,963 W. 16th St.
Gateway Pizza N Subs,Good,5/14/2024,Merced,1220 V St.
Golden Bowl Chinese Restaurant,Satisfactory,3/13/2024,Merced,3144 N. G St. Ste 155
Gracey Elementary School,Good,3/18/2026,Merced,945 West Ave
Grocery Outlet of Merced,Good,5/6/2024,Merced,1125 W Main St
Guacamole Burrito,Good,7/14/2023,Merced,3144 G St. Ste 145
Guadalajara Meat Market,Satisfactory,3/30/2026,Merced,836 T St.
H & W Family Drive-In,Good,3/19/2025,Merced,121 W. 16th St.
"Habit Burger Grill #324 - Merced, CA",Good,3/20/2024,Merced,3680 G St.
Handi Stop,Satisfactory,9/11/2024,Merced,1460 Yosemite Pkwy
Handi Stop II,Good,9/11/2024,Merced,1801 E 21st St.
Hao's Kitchen,Good,11/7/2022,Merced,1500 Yosemite Pkwy
Hausmann Pizzeria LLC Pizza Factory,Good,3/30/2026,Merced,3146 G St. Ste 147
Hi-Fi Wine,Good,5/9/2024,Merced,629 W. Main St.
Hilton Garden Inn,Good,12/19/2025,Merced,1001 S. Coffee St.
HOBBY LOBBY,Good,5/9/2024,Merced,1400 W. Olive Ave.
Hola Cafecito,Good,2/21/2025,Merced,429 Main St.
Holiday Inn Express,Good,6/29/2026,Merced,151 S. Parsons Ave.
Hoover Intermediate,Good,4/16/2026,Merced,800 E 26th St
Houa Khong Restaurant,Good,4/8/2026,Merced,85 E 13th St
House of Prayer,Satisfactory,1/11/2024,Merced,590 Henry St.
HSA Cafeteria,Good,7/28/2025,Merced,2115 W. Wardrobe Ave.
In-N-Out Burger #91,Good,11/16/2023,Merced,1579 Martin Luther King Jr Way
Iris Garrett Juvenile Justice Complex,Good,4/27/2026,Merced,2840 W. Sandy Mush Road
Italo American Lodge,Good,2/19/2026,Merced,1351 W. 18th St
Jack In The Box # 465,Satisfactory,9/4/2024,Merced,595 W. Olive Ave.
Jack in the Box #5219,Good,12/19/2023,Merced,77 S. Parsons Ave.
Jack In The Box #580,Good,3/7/2024,Merced,1270 V St.
Jamba Juice #620,Good,5/22/2024,Merced,1728 W. Olive Ave.
Jamba Juice #75121,Good,5/9/2023,Merced,3630 G St. Ste D
Jantz Cafe & Bakery,Satisfactory,12/4/2023,Merced,3361 N. G St. Ste A
Jenny Nicole's Old School House Bakery,Good,4/25/2024,Merced,2649 Canal St.
Jessi's Market,Good,5/12/2026,Merced,110 E. 13th St.
Joe Herb Park Concessions,Good,3/13/2024,Merced,2200 Yosemite Pkwy
Joe On The Go Cafe,Good,11/17/2023,Merced,2806 G St.
Joe Stefani Elementary School,Good,3/20/2026,Merced,2768 Ranchero Lane
John C. Fremont School,Good,3/18/2026,Merced,1220 W 22nd St
John Latorraca Correctional Facility,Good,3/24/2026,Merced,2584 W. Sandy Mush Road
John Muir School,Good,4/16/2026,Merced,301 W 25th St
Jose Taco's,Good,6/6/2023,Merced,3250 N G St. Ste B
Joystiq,Good,9/19/2024,Merced,325 W. Main St.
Kabab City,Satisfactory,7/14/2025,Merced,125 E. Yosemite Ave. Ste D
Katalinas Distribution,Good,5/2/2025,Merced,790 Sunol Ct.
Kentucky Fried Chicken,Good,6/2/2026,Merced,180 W Olive Ave.
Kentucky Fried Chicken Restaurant,Good,6/2/2026,Merced,2016 E. Childs Ave.
KiddieLand @ Applegate Zoo,Good,4/10/2026,Merced,2525 O St.
Kind Neighbor,Good,8/12/2025,Merced,1717 M St.
King's Asian Cuisine Sushi & Cocktail Lounge,Unsatisfactory,6/4/2026,Merced,360 W Main St.
